id_ruang_lingkup	no_mata_pembayaran	uraian	satuan	harga_satuan
7	2.1.(1)	Galian Batu	M3	82396,09
7	2.2.(1)	Pasangan Batu dengan Mortar	M3	1043862,06
7	2.3.(1)	Gorong-gorong Pipa Beton Tanpa Tulangan diameter dalam 20 cm	M1	133674,77
7	2.3.(2)	Gorong-gorong Pipa Beton Tanpa Tulangan diameter dalam 25 cm	M1	158686,83
7	2.3.(3)	Gorong-gorong Pipa Beton Tanpa Tulangan diameter dalam 30 cm	M1	204998,23
7	2.3.(4)	Gorong-gorong Pipa Beton Bertulang, diameter dalam 40 cm	M1	567960,86
7	2.3.(5)	Gorong-gorong Pipa Beton Bertulang, diameter dalam 60 cm	M1	823374,01
7	2.3.(6)	Gorong-gorong Pipa Beton Bertulang, diameter dalam 80 cm	M1	1599523,85
7	2.3.(7)	Gorong-gorong Pipa Beton Bertulang, diameter dalam 100 cm	M1	2134784,76
7	2.3.(8)	Gorong-gorong Pipa Beton Bertulang, diameter dalam 120 cm	M1	2596275,97
7	2.3.(9)	Gorong-gorong Pipa Beton Bertulang, diameter dalam 150 cm	M1	3569238,9
7	2.3.(10)	Gorong-gorong Pipa Baja Bergelombang	Ton	30141705,84
7	2.3.(11)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 40 cm x 40 cm	M1	526973,83
7	2.3.(12)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 50 cm x 50 cm	M1	1666822,98
7	2.3.(13)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 60 cm x 60 cm	M1	1444795,69
7	2.3.(14)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 80 cm x 80 cm	M1	1826099,55
7	2.3.(15)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 100 cm x 100 cm	M1	2460383,81
7	2.3.(16)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 120 cm x 120 cm	M1	2918475,96
7	2.3.(17)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 140 cm x 140 cm	M1	3938038,21
7	2.3.(18)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 150 cm x 150 cm	M1	4121801,1
7	2.3.(19)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 160 cm x 160 cm	M1	4925430,73
7	2.3.(20)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 180 cm x 180 cm	M1	15498312,3
7	2.3.(21)	Gorong-gorong Kotak Beton Bertulang, ukuran dalam 200 cm x 200 cm	M1	6226125,53
7	2.3.(22)	Saluran berbentuk U Tipe DS 1	M1	893679,04
7	2.3.(23)	Saluran berbentuk U Tipe DS 1a (dengan tutup)	M1	1146394,31
7	2.3.(24)	Saluran berbentuk U Tipe DS 2	M1	983856,96
7	2.3.(25)	Saluran berbentuk U Tipe DS 2a (dengan tutup)	M1	1300369,44
7	2.3.(26)	Saluran berbentuk U Tipe DS 3	M1	980584,02
7	2.3.(27)	Saluran berbentuk U Tipe DS 3a (dengan tutup)	M1	1443344,57
7	2.3.(28)	Saluran berbentuk U Tipe DS 4	M1	1172351,28
7	2.3.(29)	Saluran berbentuk U Tipe DS 4a (dengan tutup)	M1	1621947,9
7	2.3.(30)	Saluran berbentuk U Tipe DS 5	M1	1273671,4
7	2.3.(31)	Saluran berbentuk U Tipe DS 5a (dengan tutup)	M1	1815508,09
7	2.3.(32)	Saluran berbentuk U Tipe DS 6	M1	1800875,67
7	2.3.(33)	Saluran berbentuk U Tipe DS 6a (dengan tutup)	M1	2140503,26
7	2.3.(34)	Pasangan Batu tanpa Adukan (Aanstamping) 	M3	1786261,02
7	2.4.(1)	Bahan Drainase Porous atau Penyaring (Filter)	M3	356792,99
7	2.4.(2)	Pipa Berlubang Banyak (Perforated Pipe) untuk Pekerjaan Drainase Bawah Permukaan, diameter 4 inch	M1	96569,74
7	2.4.(3)	Pipa Berlubang Banyak (Perforated Pipe) untuk Pekerjaan Drainase Bawah Permukaan, diameter 5 inch	M1	168801,08
7	2.4.(4)	Pipa Berlubang Banyak (Perforated Pipe) untuk Pekerjaan Drainase Bawah Permukaan, diameter 6 inch	M1	236661,46
7	2.4.(5)	Pipa Berlubang Banyak (Perforated Pipe) untuk Pekerjaan Drainase Bawah Permukaan, diameter 8 inch	M1	396449,74
2	3.1.(1)	Galian Biasa	M3	59561,94
2	3.1.(2)	Galian Batu Lunak	M3	110531,79
2	3.1.(3)	Galian Batu	M3	214301,27
2	3.1.(4)	Galian Struktur dengan kedalaman 0 - 2 meter	M3	387500,58
2	3.1.(5)	Galian Struktur dengan kedalaman 2 - 4 meter	M3	359585,59
2	3.1.(6)	Galian Struktur dengan kedalaman 4 - 6 meter	M3	331157,62
2	3.1.(7)	Galian Perkerasan Beraspal dengan Cold Milling Machine	M3	394334,48
2	3.1.(8)	Galian Perkerasan Beraspal tanpa Cold Milling Machine	M3	692053,66
2	3.1.(9)	Galian Perkerasan berbutir	M3	69107,78
2	3.1.(10).	Galian Perkerasan Beton	M3	533332,77
2	3.2.(1a)	Timbunan Biasa dari sumber galian	M3	399256,51
2	3.2.(1b)	Timbunan Biasa dari hasil galian	M3	122751,4
2	3.2.(2a)	Timbunan Pilihan dari sumber galian	M3	415600,5
2	3.2.(2b)	Timbunan Pilihan dari galian	M3	144271,63
2	3.2.(3a)	Timbunan Pilihan (diukur diatas bak truk)	M3	336659,48
2	3.2.(3b)	Timbunan Pilihan (diukur dengan rod & plate)	M3	358991,72
2	3.2.(4)	Penimbunan Kembali Bahan Berbutir (Granular Backfill)	M3	365849,62
2	3.3.(1)	Penyiapan Badan Jalan	M2	1799,86
2	3.4.(1)	Pembersihan dan Pengupasan Lahan 	M2	15136,22
2	3.4.(2)	Pemotongan Pohon Pilihan diameter 15 – 30 cm	buah	19213,19
2	3.4.(3)	Pemotongan Pohon Pilihan diameter > 30 – 50 cm	buah	69284,99
2	3.4.(4)	Pemotongan Pohon Pilihan diameter > 50 – 75 cm	buah	224144,08
2	3.4.(5)	Pemotongan Pohon Pilihan diameter > 75 cm	buah	635746,66
2	3.5.(1)	Geotekstil Filter untuk Drainage Bawah Permukaan (Kelas 2)	M2	15128,29
2	3.5.(2a)	Geotekstil Separator Kelas 1	M2	11297,89
2	3.5.(2b)	Geotekstil Separator Kelas 2	M2	14610,85
2	3.5.(2c)	Geotekstil Separator Kelas 3	M2	14953,57
2	3.5.(3)	Geotekstil Stabilisator (Kelas 1)	M2	15142,66
8	4.1.(1)	Pengabutan (Fog Seal) dengan Aspal Emulsi yang Mengikat Lambat (CSS-1h atau SS-1h)	Liter	41791,12
8	4.1.(2)	Pengabutan (Fog Seal) dengan Aspal Emulsi yang Mengikat Lebih Cepat (CQS-1h atau QS-1h)	Liter	37181,44
8	4.1.(3)	Pengabutan (Fog Seal) dengan Aspal Emulsi Modifikasi Polymer yang Mengikat Lebih Cepat (PMCQS-1h atau PMQS-1h)	Liter	32397,19
8	4.2.(1)	Laburan Aspal (Buras)	M2	25138,13
8	4.4.(1)	Penghamparan lapis penutup bubur aspal emulsi, tipe 1, CSS-1h SS-1h	M2	43597,39
8	4.4.(2)	Penghamparan lapis penutup bubur aspal emulsi, tipe 1, CQS-1h QS-1h	M2	39147,45
8	4.4.(3)	Penghamparan lapis penutup bubur aspal emulsi, tipe 2, CSS-1h SS-1h	M2	52625,7
8	4.4.(4)	Penghamparan lapis penutup bubur aspal emulsi, tipe 2, CQS-1h QS-1h	M2	47003,07
8	4.4.(5)	Penghamparan lapis penutup bubur aspal emulsi, tipe 3, CSS-1h SS-1h	M2	55056,12
8	4.4.(6)	Penghamparan lapis penutup bubur aspal emulsi, tipe 3, CQS-1h QS-1h	M2	48549,02
8	4.5.(1)	Lapis Permukaan Mikro dengan aspal emulsi modifikasi  polymer  PMCQS-1h atau PMCQS-1h untuk Tipe 1	M2	30072,31
8	4.5.(2)	Lapis Permukaan Mikro Perata dengan aspal emulsi modifikasi  polymer  PMCQS-1h atau PMCQS-1h untuk Tipe 1	Ton	3459221,89
8	4.5.(3)	Lapis Permukaan Mikro dengan aspal emulsi modifikasi  polymer  PMCQS-1h atau PMCQS-1h untuk Tipe 2	M2	43604,35
8	4.5.(4)	Lapis Permukaan Mikro Perata dengan aspal emulsi modifikasi  polymer  PMCQS-1h atau PMCQS-1h untuk Tipe 2	Ton	3113983,28
8	4.6.(1)	Latasir Kelas A (SS-A)	Ton	2424970,15
8	4.6.(2)	Latasir Kelas B (SS-B)	Ton	2810269,03
8	4.7.(1)	Lapis Tipis Beton Aspal - A (LTBA-A)	Ton	2843757,41
8	4.7.(2)	Lapis Tipis Beton Aspal - B Halus (LTBA-B Halus)	Ton	1977349,42
8	4.7.(3)	Lapis Tipis Beton Aspal - B Halus (LTBA-B Kasar)	Ton	1757607,63
8	4.7.(4)	Lapis Tipis Beton Aspal - B Halus Modifikasi Kasar (LTBA-B Mod Kasar)	Ton	1809836,98
8	4.7.(5)	Stone Matrix Asphalt Tipis (SMA Tipis)	Ton	2143754,28
8	4.7.(6)	Stone Matrix Asphalt Modifikasi Tipis (SMA Mod Tipis)	Ton	2204518,03
8	4.8.(1)	Tambalan Dangkal dengan Beton Semen Cepat Mengeras untuk Pembbukaan Lalu Lintas Umur Beton < 24 jam	M3	3029728,21
8	4.8.(2)	Tambalan Dangkal dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 1 hari dan kurang dari 3 hari	M3	2796618,95
8	4.8.(3)	Tambahan Dangkal dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 3 hari dan kurang dari 7 hari	M3	2675192,58
8	4.9.(1)	Tambalan Penuh dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton < 24 jam	M3	2783448,06
8	4.9.(2)	Tambalan Penuh dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 1 hari dan kurang dari 3 hari	M3	2480973,17
8	4.9.(3)	Tambalan Penuh dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 3 hari dan kurang dari 7 hari	M3	2381781,79
8	4.9.(4)	Pemasangan Ruji (Dowel)	Buah	338091,01
8	4.9.(5)	Pemasangan Sealant	M1	1984,65
8	4.10.(1)	Penambahan dan/atau Penggantian Ruji (Dowel) pada Perkerasan Beton Semen dengan Epoksi	Buah	378289,64
8	4.11.(1)	Penjahitan Melintang Tipe 1 (tabel pelat beton = 150 - 175 mm)	Buah	18879,62
8	4.11.(2)	Penjahitan Melintang Tipe 2 (tabel pelat beton = > 175 mm - 200 mm)	Buah	20977,36
8	4.11.(3)	Penjahitan Melintang Tipe 3 (tabel pelat beton = > 200 mm - 225 mm)	Buah	21528,66
8	4.11.(4)	Penjahitan Melintang Tipe 4 (tabel pelat beton = > 225 mm - 250 mm)	Buah	23920,73
8	4.11.(5)	Penjahitan Melintang Tipe 5 (tabel pelat beton = > 250 mm - 275 mm)	Buah	null
8	4.11.(6)	Penjahitan Melintang Tipe 6 (tabel pelat beton = > 275 mm -300 mm)	Buah	null
8	4.11.(7)	Penjahitan Melintang Tipe 7 (tabel pelat beton = > 300 mm - 325 mm)	Buah	null
8	4.11.(8)	Penjahitan Melintang Tipe 8 (tabel pelat beton = > 325 mm - 350 mm)	Buah	null
8	4.12.(1)	Penutupan Sambungan Melintang (Termoplastik)	M1	225041,4
8	4.12.(2)	Penutupan Sambungan Melintang (Termoseting)	M1	49006,67
8	4.12.(3)	Penutupan Sambungan Melintang (Preformed)	M1	787289,27
8	4.12.(4)	Penutupan Sambungan Memanjang (Termoplastik)	M1	null
8	4.12.(5)	Penutupan Sambungan Memanjang (Termoseting)	M1	null
8	4.12.(6)	Penutupan Sambungan Memanjang (Preformed)	M1	null
8	4.12.(7)	Penutupan Retak (Termoplastik)	M1	null
8	4.12.(8)	Penutupan Retak (Termoseting)	M1	null
8	4.13.(1)	Pengeboran Lubang 	Buah	2838,18
8	4.13.(2)	Material Injeksi Berbahan Dasar Semen	Kg	null
8	4.13.(3)	Material Injeksi Berbahan Dasar Cellular 	Kg	null
4	5.1.(1)	Lapis Fondasi Agregat Kelas A	M3	346790,83
4	5.1.(2)	Lapis Fondasi Agregat Kelas B	M3	394306,63
4	5.1.(3a)	Lapis Fondasi Agregat Kelas S	M3	400595,89
4	5.1.(3b)	Lapis Fondasi Agregat Kelas C	M3	809612,91
4	5.1.(4)	Lapis Drainase	M3	556742,94
4	5.2,(1)	Lapis Permukaan Agregat Tanpa Penutup Aspal	M3	349065,44
4	5.2,(2)	Lapis Fondasi Agregat Tanpa Penutup Aspal	M3	398769,9
4	5.3.(1a)	Perkerasan Beton Semen [pakai finisher]	M3	1849801,15
4	5.3.(1a)	Perkerasan Beton Semen [tidak pakai finisher]	M3	1998304,58
4	5.3.(1b)	Perkerasan Beton Semen Fast Track hingga 8 Jam 	M3	2409094,08
4	5.3.(1c)	Perkerasan Beton Semen  Fast Track 24 Jam	M3	2376171,54
4	5.3.(2a)	Perkerasan Beton Semen dengan Anyaman Tulangan Tunggal 	M3	2299921,9
4	5.3.(2b)	Perkerasan Beton Semen Fast Track hingga 8 Jam dengan Anyaman Tulangan Tunggal 	M3	2677003,88
4	5.3.(2c)	Perkerasan Beton Semen Fast Track 24 Jam dengan Anyaman Tulangan Tunggal 	M3	2976916,15
4	5.3.(3)	Lapis Fondasi Bawah Beton Kurus	M3	1533763,85
4	5.4.(1)	Stabilisasi Tanah Dasar dengan Semen	Ton	164251,71
4	5.4.(2)	Lapis Fondasi Tanah Semen	M3	552464,81
4	5.5.(1)	Lapis Fondasi Agregat Semen Kelas A (Cement Treated Base = CTB)	M3	488240,04
4	5.5.(2)	Lapis Fondasi Agregat Semen Kelas B (Cement Treated Sub-Base = CTSB)	M3	513182,97
5	6.1 (1)	Lapis Resap Pengikat - Aspal Cair/Emulsi	Liter	39396,84
5	6.1 (2a)	Lapis Perekat - Aspal Cair/Emulsi	Liter	35343,42
5	6.1 (2b)	Lapis Perekat - Aspal Emulsi Modifikasi Polimer	Liter	35969,61
5	6.2 (1)	Agregat Penutup BURTU	M2	20819,04
5	6.2 (2)	Agregat Penutup BURDA	M2	28709,23
5	6.2 (3a)	Bahan Aspal Keras untuk Pekerjaan Pelaburan	Liter	20408,97
5	6.2 (3b)	Bahan Aspal Emulsi Modifikasi untuk Pekerjaan Pelaburan	Liter	30740,55
5	6.2 (4a)	Aspal Cair untuk Precoated	Liter	20909,12
5	6.2 (4b)	Aspal Emulsi untuk Precoated	Liter	23723,63
5	6.2 (4c)	Aspal Emulsi Modifikasi Polimer untuk Precoated	Liter	21069,83
5	6.3 (1a)	Stone Matrix Asphalt Halus (SMA Halus)	Ton	2078028,26
5	6.3 (1b)	Stone Matrix Asphalt Modifikasi Halus (SMA Mod Halus)	Ton	2131359,92
5	6.3 (2a)	Stone Matrix Asphalt Kasar (SMA Kasar)	Ton	2056335,54
5	6.3 (2b)	Stone Matrix Asphalt Modifikasi Kasar (SMA Mod Kasar)	Ton	2107427,62
5	6.3(3)	Lataston Lapis Aus (HRS-WC) 	Ton	2169044,01
5	6.3.(4)	Lataston Lapis Fondasi (HRS-Base) 	Ton	1867891,09
5	6.3(5a)	Laston Lapis Aus (AC-WC)	Ton	1871047,18
5	6.3(5b)	Laston Lapis Aus Modifikasi (AC-WC Mod)	Ton	1922171,15
5	6.3(6a)	Laston Lapis Antara (AC-BC)	Ton	1768608,42
5	6.3(6b)	Laston Lapis Antara Modifikasi (AC-BC Mod)	Ton	1819299,74
5	6.3(7a)	Laston Lapis Fondasi (AC-Base)	Ton	1739886,23
5	6.3(7b)	Laston Lapis Fondasi Modifikasi (AC-Base Mod)	Ton	1622929,18
5	6.3.(8)	Bahan anti pengelupasan	Kg	54264
5	6.4.(1a)	Laston Hangat Pen.60-70, WMAC Lapis Aus (WMAC-WC) dengan Zeolit	Ton	2029744,98
5	6.4.(1b)	Laston Hangat Pen.60-70, WMAC Lapis Aus (WMAC-WC) dengan Wax	Ton	1831048,55
